normalized_id,hardware,device_id,hardware_session_id,session_id,source_system,payload_format,state_client,city,execution_place,seed_type,weight_kg,event_time,ingestion_time,event_date,event_hour,delay_ms,is_late,is_buffered,latitude,longitude,latitude_ref,longitude_ref,gps_valid,gps_status,speed_kmh,rssi_dbm,signal_quality,network_condition,machine_on,machine_operating,machine_status,scenario_state,parse_ok,parse_error,data_quality_ok,data_quality_flags,raw_record_id,raw_payload,observacoes,dev_hash,gps_state_raw,ext_v,flags_raw,crc_raw,_source_file,_source_line
fd642905-aa86-44b3-8822-85eac0866e80,ABS,ABS-0032,ABS-0032,ABS-0032,EC2 AWS,hex,Maranhão,BALSAS,Fazenda Escondido,Soja,2872.0,2026-03-16 06:03:15,2026-03-16 06:03:21,2026-03-16,6,6897.0,1,0,-7.9615,-45.9094,-7.961475,-45.909408,1,valid,1.85,-80.0,good,good,1,0,idle,powered_idle,1,,1,,ABS-0032-0001,AA550836C12769B79D2300FFF9DA71FFD3DC7A00015001008200526C,,137806119,0,13.0,0,526C,data\raw_samples\raw\abs\year=2026\month=03\day=16\hour=06\part-00001.jsonl,1
02bd25d8-9568-4909-a43a-fda21e7a928f,ABS,ABS-0032,ABS-0032,ABS-0032,EC2 AWS,hex,Maranhão,BALSAS,Fazenda Escondido,Soja,2872.0,2026-03-16 06:07:13,2026-03-16 06:07:26,2026-03-16,6,13621.0,1,0,-7.9615,-45.9094,-7.961475,-45.909408,1,valid,0.0,-100.0,poor,moderate,1,0,idle,powered_idle,1,,1,,ABS-0032-0002,AA550836C12769B79E1100FFF9DA71FFD3DC7A00006401008F0007E0,,137806119,0,14.3,0,07E0,data\raw_samples\raw\abs\year=2026\month=03\day=16\hour=06\part-00001.jsonl,2
4370bb10-7305-4487-afcf-51cc61de9bbe,ABS,ABS-0032,ABS-0032,ABS-0032,EC2 AWS,hex,Maranhão,BALSAS,Fazenda Escondido,Soja,2872.0,2026-03-16 06:12:46,2026-03-16 06:12:49,2026-03-16,6,3020.0,0,0,-7.9614,-45.9094,-7.961475,-45.909408,1,valid,0.0,-89.0,moderate,moderate,1,0,idle,powered_idle,1,,1,,ABS-0032-0003,AA550836C12769B79F5E00FFF9DA72FFD3DC7A0000590100820037AA,,137806119,0,13.0,0,37AA,data\raw_samples\raw\abs\year=2026\month=03\day=16\hour=06\part-00001.jsonl,3
202c14f7-6eff-42b3-b66d-7eb63dddb769,ABS,ABS-0032,ABS-0032,ABS-0032,EC2 AWS,hex,Maranhão,BALSAS,Fazenda Escondido,Soja,2872.0,2026-03-16 06:18:11,2026-03-16 06:18:20,2026-03-16,6,9109.0,1,0,-7.9615,-45.9094,-7.961475,-45.909408,1,valid,0.0,-96.0,poor,moderate,1,0,idle,powered_idle,1,,1,,ABS-0032-0004,AA550836C12769B7A0A300FFF9DA71FFD3DC7A00006001008200D964,,137806119,0,13.0,0,D964,data\raw_samples\raw\abs\year=2026\month=03\day=16\hour=06\part-00001.jsonl,4
e059438d-ea1b-4fcf-ad1f-46fc521ee917,ABS,ABS-0032,ABS-0032,ABS-0032,EC2 AWS,hex,Maranhão,BALSAS,Fazenda Escondido,Soja,2872.0,2026-03-16 06:22:02,2026-03-16 06:22:06,2026-03-16,6,4694.0,0,0,-7.9615,-45.9094,-7.961475,-45.909408,1,valid,1.85,-92.0,poor,good,1,0,idle,metal_shed_idle,1,,0,metal_shed,ABS-0032-0005,AA550836C12769B7A18A00FFF9DA71FFD3DC7A00015C01007B04C16D,barracao_metalico,137806119,0,12.3,4,C16D,data\raw_samples\raw\abs\year=2026\month=03\day=16\hour=06\part-00001.jsonl,5
b85c6048-2108-40f9-8421-989ed7be4ff3,ABS,ABS-0032,ABS-0032,ABS-0032,EC2 AWS,hex,Maranhão,BALSAS,Fazenda Escondido,Soja,2872.0,2026-03-16 06:25:33,2026-03-16 06:25:37,2026-03-16,6,4812.0,0,0,-7.9614,-45.9094,-7.961475,-45.909408,1,valid,0.0,-89.0,moderate,good,1,0,idle,powered_idle,1,,1,,ABS-0032-0006,AA550836C12769B7A25D00FFF9DA72FFD3DC7A00005901007600FFFF,,137806119,0,11.8,0,FFFF,data\raw_samples\raw\abs\year=2026\month=03\day=16\hour=06\part-00001.jsonl,6
74b48676-2720-4829-ae2b-75f913e6ff69,ABS,ABS-0032,ABS-0032,ABS-0032,EC2 AWS,hex,Maranhão,BALSAS,Fazenda Escondido,Soja,2872.0,2026-03-16 06:28:00,2026-03-16 06:28:18,2026-03-16,6,18220.0,1,0,-7.9615,-45.9094,-7.961475,-45.909408,1,valid,1.85,-102.0,critical,moderate,1,0,idle,powered_idle,1,,1,,ABS-0032-0007,AA550836C12769B7A2F000FFF9DA71FFD3DC7A00016601009000433C,,137806119,0,14.4,0,433C,data\raw_samples\raw\abs\year=2026\month=03\day=16\hour=06\part-00001.jsonl,7
9a5847d5-27b0-4fa6-ad01-022ed4e9a622,ABS,ABS-0032,ABS-0032,ABS-0032,EC2 AWS,hex,Maranhão,BALSAS,Fazenda Escondido,Soja,2872.0,2026-03-16 06:31:14,2026-03-16 06:31:25,2026-03-16,6,11866.0,1,0,-7.9615,-45.9094,-7.961475,-45.909408,1,valid,0.0,-95.0,poor,good,1,0,idle,powered_idle,1,,1,,ABS-0032-0008,AA550836C12769B7A3B200FFF9DA71FFD3DC7A00005F01008A00F367,,137806119,0,13.8,0,F367,data\raw_samples\raw\abs\year=2026\month=03\day=16\hour=06\part-00001.jsonl,8
b9ea3e04-51ec-4d54-abb1-e6456a8d2291,ABS,ABS-0032,ABS-0032,ABS-0032,EC2 AWS,hex,Maranhão,BALSAS,Fazenda Escondido,Soja,2872.0,2026-03-16 06:35:37,2026-03-16 06:35:42,2026-03-16,6,5667.0,1,0,-7.9615,-45.9094,-7.961475,-45.909408,1,valid,0.0,-115.0,critical,critical,1,0,idle,powered_idle,1,,1,,ABS-0032-0009,AA550836C12769B7A4B900FFF9DA71FFD3DC7A000073010083009455,cobertura_critical,137806119,0,13.1,0,9455,data\raw_samples\raw\abs\year=2026\month=03\day=16\hour=06\part-00001.jsonl,9
09e651fd-81f3-4bf2-89ab-d5cbed39d2fc,ABS,ABS-0032,ABS-0032,ABS-0032,EC2 AWS,hex,Maranhão,BALSAS,Fazenda Escondido,Soja,2872.0,2026-03-16 06:43:38,2026-03-16 06:43:55,2026-03-16,6,17566.0,1,0,-7.9615,-45.9094,-7.961475,-45.909408,0,lost,0.0,-118.0,critical,critical,1,0,idle,metal_shed_idle,1,,0,metal_shed,ABS-0032-0010,AA550836C12769B7A69A01FFF9DA71FFD3DC7A000076010078047426,gps_invalido_ou_perdido;cobertura_critical;barracao_metalico,137806119,1,12.0,4,7426,data\raw_samples\raw\abs\year=2026\month=03\day=16\hour=06\part-00001.jsonl,10
