normalized_id,hardware,device_id,hardware_session_id,session_id,source_system,payload_format,state_client,city,execution_place,seed_type,weight_kg,event_time,ingestion_time,event_date,event_hour,delay_ms,is_late,is_buffered,latitude,longitude,latitude_ref,longitude_ref,gps_valid,gps_status,speed_kmh,rssi_dbm,signal_quality,network_condition,machine_on,machine_operating,machine_status,scenario_state,parse_ok,parse_error,data_quality_ok,data_quality_flags,raw_record_id,raw_payload,observacoes,_source_file,_source_line
37c4c01d-ede1-4401-b085-50defc5afb49,FMC920,FMC920-0018,FMC920-0018,FMC920-0018,AWS IoT Core,json,Paraná,CAMPO MOURAO,Fazenda canaã,Soja,11000.0,2026-03-09 07:35:03,2026-03-09 07:35:04,2026-03-09,7,1157.0,0,0,-23.953911,-52.486105,-23.953889,-52.486111,1,valid,0.1,-72.0,good,good,1,0,idle,powered_idle,1,,1,,FMC920-0018-0001,"{""deviceId"":""FMC920-0018"",""ts"":""2026-03-09T07:35:03"",""seq"":1,""gps"":{""lat"":-23.953911,""lon"":-52.486105,""alt"":635,""speed_kmh"":0.1,""angle"":183,""sats"":10,""hdop"":1.7,""fix"":true},""gsm"":{""rssi_dbm"":-72,""network"":""LTE-M""},""power"":{""ext_v"":13.7,""battery_v"":3.93},""io"":{""din1_ignition"":1,""din_operating"":0,""dout1"":0},""event"":""powered_idle"",""buffered"":false}",,data\raw_samples\raw\fmc920\year=2026\month=03\day=09\hour=07\part-00001.jsonl,1
191169f8-06ba-4060-89d0-1e2e4541b452,FMC920,FMC920-0018,FMC920-0018,FMC920-0018,AWS IoT Core,json,Paraná,CAMPO MOURAO,Fazenda canaã,Soja,11000.0,2026-03-09 07:38:59,2026-03-09 07:39:10,2026-03-09,7,11078.0,1,0,-23.953909,-52.486086,-23.953889,-52.486111,1,valid,0.7,-90.0,moderate,poor,1,0,idle,powered_idle,1,,1,,FMC920-0018-0002,"{""deviceId"":""FMC920-0018"",""ts"":""2026-03-09T07:38:59"",""seq"":2,""gps"":{""lat"":-23.953909,""lon"":-52.486086,""alt"":584,""speed_kmh"":0.7,""angle"":299,""sats"":8,""hdop"":1.3,""fix"":true},""gsm"":{""rssi_dbm"":-90,""network"":""LTE-M""},""power"":{""ext_v"":13.8,""battery_v"":3.88},""io"":{""din1_ignition"":1,""din_operating"":0,""dout1"":0},""event"":""powered_idle"",""buffered"":false}",atrasado;cobertura_poor,data\raw_samples\raw\fmc920\year=2026\month=03\day=09\hour=07\part-00001.jsonl,2
c1205e91-7b47-44c4-9928-6f7c3bf4a73c,FMC920,FMC920-0018,FMC920-0018,FMC920-0018,AWS IoT Core,json,Paraná,CAMPO MOURAO,Fazenda canaã,Soja,11000.0,2026-03-09 07:41:42,2026-03-09 07:41:45,2026-03-09,7,3017.0,0,0,-23.953918,-52.486144,-23.953889,-52.486111,1,valid,1.1,-68.0,good,good,1,0,idle,powered_idle,1,,1,,FMC920-0018-0003,"{""deviceId"":""FMC920-0018"",""ts"":""2026-03-09T07:41:42"",""seq"":3,""gps"":{""lat"":-23.953918,""lon"":-52.486144,""alt"":568,""speed_kmh"":1.1,""angle"":341,""sats"":14,""hdop"":1.6,""fix"":true},""gsm"":{""rssi_dbm"":-68,""network"":""LTE-M""},""power"":{""ext_v"":13.3,""battery_v"":3.93},""io"":{""din1_ignition"":1,""din_operating"":0,""dout1"":0},""event"":""powered_idle"",""buffered"":false}",,data\raw_samples\raw\fmc920\year=2026\month=03\day=09\hour=07\part-00001.jsonl,3
e1f0e01c-0dca-4d14-ae11-1d567990b7ce,FMC920,FMC920-0018,FMC920-0018,FMC920-0018,AWS IoT Core,json,Paraná,CAMPO MOURAO,Fazenda canaã,Soja,11000.0,2026-03-09 07:43:51,2026-03-09 07:43:53,2026-03-09,7,2464.0,0,0,-23.953855,-52.486125,-23.953889,-52.486111,1,valid,1.5,-78.0,good,good,1,0,idle,powered_idle,1,,1,,FMC920-0018-0004,"{""deviceId"":""FMC920-0018"",""ts"":""2026-03-09T07:43:51"",""seq"":4,""gps"":{""lat"":-23.953855,""lon"":-52.486125,""alt"":555,""speed_kmh"":1.5,""angle"":164,""sats"":8,""hdop"":1.6,""fix"":true},""gsm"":{""rssi_dbm"":-78,""network"":""LTE-M""},""power"":{""ext_v"":14.1,""battery_v"":3.81},""io"":{""din1_ignition"":1,""din_operating"":0,""dout1"":0},""event"":""powered_idle"",""buffered"":false}",,data\raw_samples\raw\fmc920\year=2026\month=03\day=09\hour=07\part-00001.jsonl,4
b7f91135-1745-42aa-9a0c-005baebb5631,FMC920,FMC920-0018,FMC920-0018,FMC920-0018,AWS IoT Core,json,Paraná,CAMPO MOURAO,Fazenda canaã,Soja,11000.0,2026-03-09 07:46:07,2026-03-09 07:46:09,2026-03-09,7,2935.0,0,0,-23.953878,-52.486082,-23.953889,-52.486111,1,valid,0.4,-91.0,poor,poor,1,0,idle,powered_idle,1,,1,,FMC920-0018-0005,"{""deviceId"":""FMC920-0018"",""ts"":""2026-03-09T07:46:07"",""seq"":5,""gps"":{""lat"":-23.953878,""lon"":-52.486082,""alt"":559,""speed_kmh"":0.4,""angle"":221,""sats"":10,""hdop"":1.3,""fix"":true},""gsm"":{""rssi_dbm"":-91,""network"":""LTE-M""},""power"":{""ext_v"":13.9,""battery_v"":3.9},""io"":{""din1_ignition"":1,""din_operating"":0,""dout1"":0},""event"":""powered_idle"",""buffered"":false}",cobertura_poor,data\raw_samples\raw\fmc920\year=2026\month=03\day=09\hour=07\part-00001.jsonl,5
93766ac8-16fc-4ec9-bc3f-2d2ec85ad09e,FMC920,FMC920-0018,FMC920-0018,FMC920-0018,AWS IoT Core,json,Paraná,CAMPO MOURAO,Fazenda canaã,Soja,11000.0,2026-03-09 07:48:37,2026-03-09 07:55:23,2026-03-09,7,406255.0,1,1,-23.953874,-52.486062,-23.953889,-52.486111,1,valid,1.5,-77.0,good,moderate,1,0,idle,powered_idle,1,,1,,FMC920-0018-0006,"{""deviceId"":""FMC920-0018"",""ts"":""2026-03-09T07:48:37"",""seq"":6,""gps"":{""lat"":-23.953874,""lon"":-52.486062,""alt"":610,""speed_kmh"":1.5,""angle"":261,""sats"":10,""hdop"":1.7,""fix"":true},""gsm"":{""rssi_dbm"":-77,""network"":""LTE-M""},""power"":{""ext_v"":13.7,""battery_v"":3.99},""io"":{""din1_ignition"":1,""din_operating"":0,""dout1"":0},""event"":""powered_idle"",""buffered"":true}",buffer/reenvio,data\raw_samples\raw\fmc920\year=2026\month=03\day=09\hour=07\part-00001.jsonl,6
bc91d5e6-7569-4198-8ec7-f1dbff35dca4,FMC920,FMC920-0018,FMC920-0018,FMC920-0018,AWS IoT Core,json,Paraná,CAMPO MOURAO,Fazenda canaã,Soja,11000.0,2026-03-09 07:51:24,2026-03-09 07:51:27,2026-03-09,7,3324.0,0,0,-23.953905,-52.486092,-23.953889,-52.486111,1,valid,1.0,-75.0,good,good,1,0,idle,powered_idle,1,,1,,FMC920-0018-0007,"{""deviceId"":""FMC920-0018"",""ts"":""2026-03-09T07:51:24"",""seq"":7,""gps"":{""lat"":-23.953905,""lon"":-52.486092,""alt"":630,""speed_kmh"":1.0,""angle"":137,""sats"":13,""hdop"":0.9,""fix"":true},""gsm"":{""rssi_dbm"":-75,""network"":""LTE-M""},""power"":{""ext_v"":14.3,""battery_v"":4.02},""io"":{""din1_ignition"":1,""din_operating"":0,""dout1"":0},""event"":""powered_idle"",""buffered"":false}",,data\raw_samples\raw\fmc920\year=2026\month=03\day=09\hour=07\part-00001.jsonl,7
b80b44c4-2cd2-4be0-ae17-7fc35d6335ac,FMC920,FMC920-0018,FMC920-0018,FMC920-0018,AWS IoT Core,json,Paraná,CAMPO MOURAO,Fazenda canaã,Soja,11000.0,2026-03-09 07:52:45,2026-03-09 07:52:47,2026-03-09,7,2920.0,0,0,,,-23.953889,-52.486111,0,invalid,1.7,-79.0,good,good,1,0,idle,powered_idle,1,,1,,FMC920-0018-0008,"{""deviceId"":""FMC920-0018"",""ts"":""2026-03-09T07:52:45"",""seq"":8,""gps"":{""lat"":null,""lon"":null,""alt"":626,""speed_kmh"":1.7,""angle"":217,""sats"":3,""hdop"":6.2,""fix"":false},""gsm"":{""rssi_dbm"":-79,""network"":""LTE-M""},""power"":{""ext_v"":14.0,""battery_v"":3.85},""io"":{""din1_ignition"":1,""din_operating"":0,""dout1"":0},""event"":""powered_idle"",""buffered"":false}",gps_invalido_ou_perdido,data\raw_samples\raw\fmc920\year=2026\month=03\day=09\hour=07\part-00001.jsonl,8
9090ec0b-5b51-48e3-8f7a-bd5fe239e20b,FMC920,FMC920-0018,FMC920-0018,FMC920-0018,AWS IoT Core,json,Paraná,CAMPO MOURAO,Fazenda canaã,Soja,11000.0,2026-03-09 07:54:51,2026-03-09 07:54:52,2026-03-09,7,1280.0,0,0,-23.953884,-52.486141,-23.953889,-52.486111,1,valid,0.9,-75.0,good,moderate,1,0,idle,powered_idle,1,,1,,FMC920-0018-0009,"{""deviceId"":""FMC920-0018"",""ts"":""2026-03-09T07:54:51"",""seq"":9,""gps"":{""lat"":-23.953884,""lon"":-52.486141,""alt"":587,""speed_kmh"":0.9,""angle"":326,""sats"":13,""hdop"":1.5,""fix"":true},""gsm"":{""rssi_dbm"":-75,""network"":""LTE-M""},""power"":{""ext_v"":13.4,""battery_v"":3.95},""io"":{""din1_ignition"":1,""din_operating"":0,""dout1"":0},""event"":""powered_idle"",""buffered"":false}",,data\raw_samples\raw\fmc920\year=2026\month=03\day=09\hour=07\part-00001.jsonl,9
9938ca07-a753-4d43-a8ad-fe521b556424,FMC920,FMC920-0018,FMC920-0018,FMC920-0018,AWS IoT Core,json,Paraná,CAMPO MOURAO,Fazenda canaã,Soja,11000.0,2026-03-09 07:56:30,2026-03-09 07:56:33,2026-03-09,7,3282.0,0,0,-23.953846,-52.486115,-23.953889,-52.486111,1,valid,0.3,-75.0,good,good,1,0,idle,powered_idle,1,,1,,FMC920-0018-0010,"{""deviceId"":""FMC920-0018"",""ts"":""2026-03-09T07:56:30"",""seq"":10,""gps"":{""lat"":-23.953846,""lon"":-52.486115,""alt"":598,""speed_kmh"":0.3,""angle"":281,""sats"":8,""hdop"":1.1,""fix"":true},""gsm"":{""rssi_dbm"":-75,""network"":""LTE-M""},""power"":{""ext_v"":14.4,""battery_v"":3.8},""io"":{""din1_ignition"":1,""din_operating"":0,""dout1"":0},""event"":""powered_idle"",""buffered"":false}",,data\raw_samples\raw\fmc920\year=2026\month=03\day=09\hour=07\part-00001.jsonl,10
